Geo_FIPS	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	SE_A10009_001	SE_A10009_002	SE_A10009_003	SE_A10009_004	SE_A10009_005	SE_A10009_006	SE_A10009_007	SE_A10009_008	SE_A10009_009	SE_A10009_010	SE_A10009_011	SE_A10009_012	SE_A10009_013	SE_A10009_014	SE_A10009_015	SE_A10009_016	SE_A10009_017	SE_A10009_018	SE_A10009_019	SE_B12001_001	SE_B12001_002	SE_B12001_003	SE_B12001_004	SE_A14006_001
"0400001"	"Cave Creek Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009286"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00001"	""	""	""	""	""	""	"97000US0400001"	"Cave Creek Unified District"	""	""	""	64480	2513	2295	2744	2317	3204	2672	4735	10130	12570	12985	6883	1432	64480	59632	714	138	1973	5	435	1583	27182	5224	5204	4371	833	309	524	20	8	12	21958	15468	14705	763	184	579	6490	2832	3658	51407	1190	19995	30222	121867
"0400003"	"Chino Valley Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009287"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00003"	""	""	""	""	""	""	"97000US0400003"	"Chino Valley Unified District"	""	""	""	22827	1166	1112	1084	593	1680	1729	2116	2648	4368	4040	1800	491	22827	21054	59	62	218	0	686	748	9729	2182	2145	1477	668	275	393	37	37	0	7547	4527	3964	563	49	514	3020	1168	1852	17192	1756	12280	3156	48666
"0400021"	"Colorado City Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009288"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00021"	""	""	""	""	""	""	"97000US0400021"	"Colorado City Unified District"	""	""	""	5996	586	806	1156	481	539	948	535	450	309	140	28	18	5996	5996	0	0	0	0	0	0	877	629	629	382	247	69	178	0	0	0	248	197	178	19	0	19	51	18	33	2428	814	1356	258	57663
"0400023"	"Pinon Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009289"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00023"	""	""	""	""	""	""	"97000US0400023"	"Pinon Unified District"	""	""	""	5375	474	443	458	254	566	678	499	676	631	406	217	73	5375	91	0	5103	47	23	15	96	1645	680	677	298	379	69	310	3	3	0	965	488	249	239	51	188	477	225	252	3180	1005	1916	259	24913
"0400026"	"Heber-Overgaard Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009290"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00026"	""	""	""	""	""	""	"97000US0400026"	"Heber-Overgaard Unified District"	""	""	""	3660	63	82	158	147	221	299	228	263	765	933	359	142	3660	3376	20	114	4	0	6	140	1673	136	136	108	28	12	16	0	0	0	1537	839	744	95	35	60	698	437	261	2989	199	2151	639	40923
"0400212"	"Benson Unified School District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009291"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00212"	""	""	""	""	""	""	"97000US0400212"	"Benson Unified School District"	""	""	""	7115	295	237	376	302	281	699	569	769	1187	1205	875	320	7115	6424	25	98	33	70	104	361	3234	618	618	317	301	65	236	0	0	0	2616	1388	1138	250	40	210	1228	714	514	5624	436	4070	1118	46967
"0400295"	"Kingman Unified School District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009292"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00295"	""	""	""	""	""	""	"97000US0400295"	"Kingman Unified School District"	""	""	""	69909	3161	2557	3516	1909	4166	7362	6774	8223	11996	11395	6757	2093	69909	62462	882	997	978	35	1408	3147	29519	5855	5839	3319	2520	923	1597	16	16	0	23664	12664	10363	2301	922	1379	11000	5596	5404	54600	7649	39683	7268	44389
"0400520"	"Ajo Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009293"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00520"	""	""	""	""	""	""	"97000US0400520"	"Ajo Unified District"	""	""	""	2691	34	184	79	27	181	270	288	80	488	566	296	198	2691	2002	0	254	0	0	157	278	1246	162	162	73	89	34	55	0	0	0	1084	548	419	129	59	70	536	224	312	2186	312	1481	393	41032
"0400680"	"Amphitheater Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009294"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00680"	""	""	""	""	""	""	"97000US0400680"	"Amphitheater Unified District"	""	""	""	145973	6410	6482	7862	4649	15984	18894	14803	15360	18967	20031	11493	5038	145973	113172	3461	2699	7217	331	9043	10050	65417	13243	13115	8488	4627	1360	3267	128	111	17	52174	22921	19009	3912	1390	2522	29253	13215	16038	104586	7882	52117	44587	56870
"0400790"	"Apache Junction Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009295"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00790"	""	""	""	""	""	""	"97000US0400790"	"Apache Junction Unified District"	""	""	""	65306	1886	1920	2636	1949	3959	5776	4873	6938	10513	13576	8996	2284	65306	58204	1014	489	787	30	1726	3056	29203	4705	4488	3205	1283	329	954	217	165	52	24498	13345	11966	1379	439	940	11153	5031	6122	52956	5192	35805	11959	54358
"0400910"	"Ash Fork Joint Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009296"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00910"	""	""	""	""	""	""	"97000US0400910"	"Ash Fork Joint Unified District"	""	""	""	2437	283	127	102	39	111	177	252	131	417	554	217	27	2437	1913	0	55	0	0	355	114	1039	214	199	156	43	31	12	15	15	0	825	498	424	74	29	45	327	170	157	1775	313	1242	220	37596
"0401000"	"Bagdad Unified School District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009297"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01000"	""	""	""	""	""	""	"97000US0401000"	"Bagdad Unified School District"	""	""	""	2466	461	294	171	48	287	290	436	202	157	85	35	0	2466	2121	0	9	0	0	0	336	819	458	458	335	123	21	102	0	0	0	361	170	170	0	0	0	191	157	34	1205	7	1069	129	64781
"0401180"	"Bisbee Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009298"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01180"	""	""	""	""	""	""	"97000US0401180"	"Bisbee Unified District"	""	""	""	6673	83	397	295	112	402	431	568	775	1175	1593	595	247	6673	5986	45	154	0	0	178	310	3372	483	483	300	183	35	148	0	0	0	2889	791	657	134	56	78	2098	1075	1023	5384	656	3142	1586	38102
"0401330"	"Bowie Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009299"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01330"	""	""	""	""	""	""	"97000US0401330"	"Bowie Unified District"	""	""	""	670	68	50	43	30	36	131	50	70	68	65	57	2	670	655	0	7	0	0	0	8	256	105	105	78	27	0	27	0	0	0	151	97	91	6	3	3	54	26	28	443	127	275	41	40593
"0401460"	"Sierra Vista Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009300"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01460"	""	""	""	""	""	""	"97000US0401460"	"Sierra Vista Unified District"	""	""	""	47951	2927	3311	3231	1681	3462	5648	5438	5246	6183	5768	3727	1329	47951	37472	2873	397	1792	255	841	4321	20819	5739	5555	3308	2247	731	1516	184	108	76	15080	7262	6195	1067	337	730	7818	3573	4245	33339	2416	20295	10628	58051
"0401600"	"Camp Verde Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009301"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01600"	""	""	""	""	""	""	"97000US0401600"	"Camp Verde Unified District"	""	""	""	11868	549	711	721	627	754	1369	1762	1147	1504	1530	946	248	11868	9418	81	1015	19	44	962	329	4110	1294	1294	685	609	134	475	0	0	0	2816	1529	1249	280	161	119	1287	653	634	8506	1250	5742	1514	43543
"0401760"	"Catalina Foothills Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009302"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01760"	""	""	""	""	""	""	"97000US0401760"	"Catalina Foothills Unified District"	""	""	""	29148	976	1348	1220	1118	1578	2144	2593	3347	5221	5831	3009	763	29148	24364	761	307	1794	65	235	1622	13925	2709	2709	2232	477	111	366	0	0	0	11216	5711	5240	471	97	374	5505	2213	3292	22908	380	5900	16628	95943
"0401810"	"Cedar Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009303"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01810"	""	""	""	""	""	""	"97000US0401810"	"Cedar Unified District"	""	""	""	9418	832	686	709	482	1008	1134	1283	988	1006	833	338	119	9418	116	42	9148	97	0	15	0	2398	1147	1012	197	815	82	733	135	124	11	1251	776	446	330	129	201	475	253	222	5701	788	4541	372	39654
"0401870"	"Chandler Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009304"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01870"	""	""	""	""	""	""	"97000US0401870"	"Chandler Unified District"	""	""	""	255070	14601	17918	20071	11447	17766	30921	37608	36501	27417	23620	12826	4374	255070	188843	12501	3000	25904	633	8596	15593	92702	33263	33121	25091	8030	2483	5547	142	111	31	59439	32632	27900	4732	1580	3152	26807	11893	14914	173267	10303	86544	76420	87946
"0401940"	"Chinle Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009305"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"01940"	""	""	""	""	""	""	"97000US0401940"	"Chinle Unified District"	""	""	""	19302	1532	1704	1764	1075	2204	2536	2137	1925	2141	1340	714	230	19302	454	57	18290	32	0	81	388	5682	1981	1970	914	1056	146	910	11	11	0	3701	1500	1039	461	119	342	2201	1275	926	11023	2456	7328	1239	22675
"0402320"	"Coolidge Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009306"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"02320"	""	""	""	""	""	""	"97000US0402320"	"Coolidge Unified District"	""	""	""	21052	1430	1653	1591	776	1733	3391	2674	2747	2103	1739	947	268	21052	12137	1286	3610	76	10	1715	2218	5975	2424	2396	1160	1236	436	800	28	0	28	3551	2028	1442	586	216	370	1523	526	997	13869	2002	10109	1758	48664
"0402530"	"Douglas Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009307"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"02530"	""	""	""	""	""	""	"97000US0402530"	"Douglas Unified District"	""	""	""	21215	1627	1329	1156	879	2607	4123	2717	2277	1973	1451	818	258	21215	17157	737	316	38	27	1242	1698	5937	2598	2569	1417	1152	347	805	29	18	11	3339	1599	1195	404	132	272	1740	665	1075	13617	3395	8424	1798	38570
"0402600"	"Duncan Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009308"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"02600"	""	""	""	""	""	""	"97000US0402600"	"Duncan Unified District"	""	""	""	2861	213	146	198	203	328	144	433	358	371	263	165	39	2861	2567	4	46	6	0	85	153	1020	346	346	209	137	42	95	0	0	0	674	425	323	102	56	46	249	147	102	1773	253	1228	292	54344
"0402690"	"Dysart Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009309"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"02690"	""	""	""	""	""	""	"97000US0402690"	"Dysart Unified District"	""	""	""	191871	10448	12960	16331	8247	14142	21076	25214	23870	18441	21309	14915	4918	191871	150804	12411	762	4710	457	10764	11963	67678	23365	23251	16417	6834	1694	5140	114	103	11	44313	28076	24345	3731	1069	2662	16237	6845	9392	129743	12977	82340	34426	70103
"0402860"	"Flagstaff Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009310"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"02860"	""	""	""	""	""	""	"97000US0402860"	"Flagstaff Unified District"	""	""	""	99562	4854	4672	5650	3376	24682	14018	10934	9527	10195	7428	3272	954	99562	76644	1483	10532	2565	136	2823	5379	34778	8944	8815	5831	2984	953	2031	129	60	69	25834	10779	8883	1896	721	1175	15055	8063	6992	56328	3139	26126	27063	62933
"0402920"	"Florence Unified School District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009311"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"02920"	""	""	""	""	""	""	"97000US0402920"	"Florence Unified School District"	""	""	""	106699	6814	6783	7301	3755	8558	17110	17504	12141	12494	9769	3598	872	106699	84416	5488	2722	2190	367	4769	6747	29838	11869	11703	8698	3005	896	2109	166	34	132	17969	10891	9070	1821	573	1248	7078	3219	3859	73488	10225	49151	14112	67539
"0403010"	"Flowing Wells Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009312"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03010"	""	""	""	""	""	""	"97000US0403010"	"Flowing Wells Unified District"	""	""	""	30466	1705	1894	2215	1184	4122	3803	3671	3415	3852	2753	1265	587	30466	21438	667	703	852	0	3812	2994	11619	3966	3941	1948	1993	693	1300	25	0	25	7653	3278	2105	1173	389	784	4375	2324	2051	19346	3361	13219	2766	37473
"0403040"	"Fountain Hills Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009313"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03040"	""	""	""	""	""	""	"97000US0403040"	"Fountain Hills Unified District"	""	""	""	25658	748	996	1184	691	722	1760	2368	2819	5083	5404	2935	948	25658	24170	414	57	442	6	51	518	11618	1719	1673	1322	351	250	101	46	0	46	9899	6199	5778	421	169	252	3700	1547	2153	21317	404	10253	10660	87490
"0403080"	"Fredonia-Moccasin Unified District, Arizona"	"ACSSF"	"az"	"970"	"00"	"0009314"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"03080"	""	""	""	""	""	""	"97000US0403080"	"Fredonia-Moccasin Unified District"	""	""	""	2821	71	64	110	223	279	445	437	331	371	347	134	9	2821	2068	80	441	28	0	82	122	981	187	187	101	86	36	50	0	0	0	794	379	239	140	5	135	415	259	156	2074	266	1427	381	51380
